ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,VDE_max_turnover_number,pKvde,VDE_Hill,kZE,pKPsbS,max_NPQ,pHstroma_initial,ATP_synthase_content,ATP_synthase_max_turnover,Thylakoid_membrane_capacitance,Volts_per_charge,c_subunits_per_ATP_synthase,n,perm_K,k_VCCN1,k_CLCE,max_b6f,pKreg,Em7_PC,Em7_PQH2,Em_Fd,k_NDH,lumen_protons_per_turnover,buffering_capacity,PSI_antenna_size,k_PC_to_P700,k_KEA,max_PSII,kQA,k_recomb,triplet_yield,triplet_to_singletO2_yield,light_per_L,k_Fd_to_NADP,k_CBC
0.1,0.07,0.1,0.08,5.65,4,0.004,6.2,3,7.8,0.367,200,0.6,0.047,14,4.666666667,150,12,800000,300,6.2,0.37,0.11,-0.42,1000,0.000587,0.014,0.5,5000,2500000,1,1000,0.33,0.45,1,0,1000,60
0.1,0.84,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.61,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.38,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,3.92,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,4.69,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,5.46,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,6.23,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,0.84,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,1.61,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,2.38,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,3.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,3.92,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,4.69,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,5.46,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,6.23,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188888889,7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,0.84,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,1.61,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,2.38,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,3.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,3.92,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,4.69,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,5.46,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,6.23,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.277777778,7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,0.84,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,1.61,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,2.38,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,3.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,3.92,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,4.69,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,5.46,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,6.23,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.366666667,7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.455555556,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.455555556,0.84,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.455555556,1.61,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.455555556,2.38,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
